"ジャンル","URL","車名","価格","全長 (mm)","全幅 (mm)","全高 (mm)","ホイールベース (mm)","シート高 (mm)","車両重量 (kg)","気筒数","シリンダ配列","排気量 (cc)","カム・バルブ駆動方式","気筒あたりバルブ数","最高出力（kW）","最高出力回転数（rpm）","最大トルク（N・m）","最大トルク回転数（rpm）"
1,"https://www.bikebros.co.jp/catalog/8/999_22/","ドゥカティ | DUCATI　スクランブラー 1100スポーツ | Scrambler 1100 Sport",1877000,2190.0,920.0,1290.0,1514.0,810.0,206.0,2,"V型（L型）",1079.0,"",2,63.0,7500.0,88.0,4750.0
1,"https://www.bikebros.co.jp/catalog/8/999_60/","ドゥカティ | DUCATI　スクランブラー 1100スポーツ プロ | Scrambler 1100 Sport PRO",2004000,2190.0,888.0,1250.0,1514.0,810.0,"",2,"V型（L型）",1079.0,"",2,62.3,7250.0,90.5,4750.0
1,"https://www.bikebros.co.jp/catalog/8/999_82/","ドゥカティ | DUCATI　スクランブラー 1100トリビュートPRO | Scrambler 1100 Tribute PRO",1609000,"","","",1514.0,810.0,211.0,2,"V型（L型）",1079.0,"",2,63.0,7500.0,88.0,4750.0
1,"https://www.bikebros.co.jp/catalog/8/999_47/","ドゥカティ | DUCATI　ストリートファイターV4 | Streetfighter V4",2495000,2112.0,833.0,1003.0,1488.0,845.0,201.0,4,"V型（L型）",1103.0,"",4,153.0,13000.0,123.0,9500.0
1,"https://www.bikebros.co.jp/catalog/8/999_50/","ドゥカティ | DUCATI　ストリートファイターV4S | Streetfighter V4S",2879000,2112.0,833.0,1003.0,1488.0,845.0,199.0,4,"V型（L型）",1103.0,"",4,153.0,13000.0,123.0,9500.0
1,"https://www.bikebros.co.jp/catalog/8/999_84/","ドゥカティ | DUCATI　ストリートファイターV4SP | Streetfighter V4SP",3959000,"","","",1488.0,845.0,196.0,4,"V型（L型）",1103.0,"",4,153.0,13000.0,123.0,9500.0
1,"https://www.bikebros.co.jp/catalog/8/12_9/","ドゥカティ | DUCATI　Xディアベル | X Diavel",2385000,2310.0,1010.0,1133.0,1615.0,750.0,247.0,2,"V型（L型）",1262.0,"",4,112.0,9500.0,126.0,5000.0
1,"https://www.bikebros.co.jp/catalog/8/999_73/","ドゥカティ | DUCATI　Xディアベルブラックスター | X Diavel Black Star",2919000,2310.0,1010.0,1133.0,1615.0,755.0,247.0,2,"V型（L型）",1262.0,"",4,118.0,9500.0,127.0,5000.0
1,"https://www.bikebros.co.jp/catalog/8/999_72/","ドゥカティ | DUCATI　Xディアベルダーク | X Diavel Dark","",2310.0,1010.0,1133.0,1615.0,755.0,247.0,2,"V型（L型）",1262.0,"",4,118.0,9500.0,127.0,5000.0
1,"https://www.bikebros.co.jp/catalog/8/12_10/","ドゥカティ | DUCATI　XディアベルS | X Diavel S",2897000,2310.0,1010.0,1133.0,1615.0,755.0,249.0,2,"V型（L型）",1262.0,"",4,118.0,9500.0,127.0,5000.0
1,"https://www.bikebros.co.jp/catalog/10/999_21/","トライアンフ | TRIUMPH　ボバーTFC | Bobber TFC",2389000,"","","","","","",2,"並列（直列）",1200.0,"OHC（SOHC）",4,"",6250.0,110.0,4500.0
1,"https://www.bikebros.co.jp/catalog/10/31_7/","トライアンフ | TRIUMPH　ボンネビルボバー | Bonneville Bobber",1790000,"",800.0,1025.0,1500.0,690.0,252.0,2,"並列（直列）",1200.0,"OHC（SOHC）",4,58.0,6100.0,106.0,4000.0
1,"https://www.bikebros.co.jp/catalog/10/999_30/","トライアンフ | TRIUMPH　ボンネビルボバー ブラック | Bonneville Bobber Black","","",760.0,1025.0,1510.0,690.0,237.5,2,"並列（直列）",1200.0,"OHC（SOHC）",4,57.0,6100.0,106.0,4000.0
1,"https://www.bikebros.co.jp/catalog/10/999_1/","トライアンフ | TRIUMPH　ボンネビルスピードマスター | Bonneville Speedmaster",1790000,"",910.0,1040.0,1510.0,705.0,264.0,2,"並列（直列）",1200.0,"OHC（SOHC）",4,58.0,6100.0,106.0,4000.0
1,"https://www.bikebros.co.jp/catalog/10/31_6/","トライアンフ | TRIUMPH　ボンネビルT120 / ブラック | Bonneville T120 / BLACK",1576000,"",780.0,1125.0,1450.0,790.0,237.0,2,"並列（直列）",1200.0,"OHC（SOHC）",4,59.0,6550.0,105.0,3500.0
1,"https://www.bikebros.co.jp/catalog/10/999_14/","トライアンフ | TRIUMPH　ボンネビルT120エース | Bonneville T120 ACE","",2170.0,785.0,1125.0,1445.0,785.0,224.0,2,"並列（直列）",1200.0,"OHC（SOHC）",4,59.0,6550.0,105.0,3100.0
1,"https://www.bikebros.co.jp/catalog/10/999_23/","トライアンフ | TRIUMPH　ボンネビルT120バド・イーキンズ・スペシャルエディション | Bonneville T120 BUD EKINS Special Edition","","",785.0,1125.0,1445.0,785.0,244.0,2,"並列（直列）",1200.0,"OHC（SOHC）",4,59.0,6550.0,105.0,3100.0
1,"https://www.bikebros.co.jp/catalog/10/999_15/","トライアンフ | TRIUMPH　ボンネビルT120ダイヤモンドエディション | Bonneville T120 DIAMOND EDITION","",2170.0,785.0,1125.0,1445.0,785.0,224.0,2,"並列（直列）",1200.0,"OHC（SOHC）",4,59.0,6550.0,105.0,3100.0
1,"https://www.bikebros.co.jp/catalog/10/999_31/","トライアンフ | TRIUMPH　スクランブラー1200ボンドエディション | Scrambler 1200 BOND EDITION",2590000,"",905.0,1250.0,1570.0,870.0,"",2,"並列（直列）",1197.0,"OHC（SOHC）",4,66.2,7400.0,110.0,3950.0
1,"https://www.bikebros.co.jp/catalog/10/999_36/","トライアンフ | TRIUMPH　スクランブラー1200スティーブ・マックイーン・エディション | Scrambler 1200 Steve McQueen edition",2196400,2325.0,905.0,1250.0,1570.0,870.0,"",2,"並列（直列）",1197.0,"OHC（SOHC）",4,66.2,7250.0,110.0,4500.0
1,"https://www.bikebros.co.jp/catalog/10/999_5/","トライアンフ | TRIUMPH　スクランブラー1200XC | Scrambler 1200 XC",1921900,2285.0,840.0,1200.0,1530.0,840.0,"",2,"並列（直列）",1197.0,"OHC（SOHC）",4,66.2,7250.0,110.0,4500.0
1,"https://www.bikebros.co.jp/catalog/10/999_6/","トライアンフ | TRIUMPH　スクランブラー1200XE | Scrambler 1200 XE",2056400,2325.0,905.0,1250.0,1570.0,870.0,"",2,"並列（直列）",1197.0,"OHC（SOHC）",4,66.2,7250.0,110.0,4500.0
1,"https://www.bikebros.co.jp/catalog/10/999_39/","トライアンフ | TRIUMPH　スピードトリプル1200RR | Speed Triple 1200RR",2285000,2085.0,758.0,1120.0,1439.0,830.0,199.0,3,"並列（直列）",1160.0,"DOHC",4,132.4,10750.0,125.0,9000.0
1,"https://www.bikebros.co.jp/catalog/10/999_34/","トライアンフ | TRIUMPH　スピードトリプル1200RS | Speed Triple 1200RS",1999000,"",792.0,1089.0,1445.0,830.0,198.0,3,"並列（直列）",1160.0,"DOHC",4,132.4,10750.0,125.0,9000.0
